service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_T0,0,0,0,1,1,0,0,20170504,20170506
1_T2,0,0,0,0,0,1,0,20170504,20170506
1_T0_1,1,1,1,1,1,0,0,20170504,20170710
1_T2_1,0,0,0,0,0,1,0,20170504,20170710
1_UJ,0,0,0,0,0,0,1,20170504,20170710
1_T0_2,1,1,1,1,1,0,0,20170504,20170512
1_T2_2,0,0,0,0,0,1,0,20170504,20170512
1_UJ_1,0,0,0,0,0,0,1,20170504,20170512
1_T2_3,0,0,0,0,0,1,0,20170513,20170514
1_UJ_2,0,0,0,0,0,0,1,20170513,20170514
1_T0_3,1,1,1,1,1,0,0,20170515,20170710
1_T2_4,0,0,0,0,0,1,0,20170515,20170710
1_UJ_3,0,0,0,0,0,0,1,20170515,20170710
1_T0_4,0,0,0,1,0,0,0,20170504,20170504
1_T2_5,0,0,0,0,0,1,0,20170505,20170507
1_UJ_4,0,0,0,0,0,0,1,20170505,20170507
1_T6,0,0,0,0,1,0,0,20170505,20170507
1_T0_5,1,1,1,1,1,0,0,20170508,20170710
1_T2_6,0,0,0,0,0,1,0,20170508,20170710
1_UJ_5,0,0,0,0,0,0,1,20170508,20170710
1_T0+a6,0,0,0,0,1,0,0,20170508,20170710
1_T6_1,0,0,0,0,1,0,0,20170505,20170505
1_T2_7,0,0,0,0,0,1,0,20170506,20170506
1_T0_6,1,1,1,1,1,0,0,20170507,20170710
1_T2_8,0,0,0,0,0,1,0,20170507,20170710
1_UJ_6,0,0,0,0,0,0,1,20170507,20170710
1_T0+a6_1,0,0,0,0,1,0,0,20170507,20170710
1_UR,0,0,0,1,0,0,0,20170504,20170504
1_T0_7,1,1,1,1,1,0,0,20170508,20170512
1_T0+a6_2,0,0,0,0,1,0,0,20170508,20170512
1_T0+a6_3,0,0,0,0,1,0,0,20170515,20170710
1_T2_9,0,0,0,0,0,1,0,20170504,20170507
1_UJ_7,0,0,0,0,0,0,1,20170504,20170507
1_UN,0,0,0,1,1,0,0,20170504,20170507
1_T0+pr,1,0,1,0,1,0,0,20170504,20170710
10_T0+lm,0,0,0,0,1,0,0,20170504,20170505
10_T2,0,0,0,0,0,1,0,20170506,20170506
10_T2_1,0,0,0,0,0,1,0,20170507,20170710
10_T0+ap,0,1,0,0,0,0,0,20170507,20170710
10_T0+lm_1,1,0,0,0,1,0,0,20170507,20170710
10_T0,1,1,1,1,1,0,0,20170504,20170710
10_T2_2,0,0,0,0,0,1,0,20170504,20170710
10_UJ,0,0,0,0,0,0,1,20170504,20170710
11_UW,1,0,0,0,0,0,0,20170504,20170710
11_T0,1,1,1,1,1,0,0,20170504,20170710
11_T2,0,0,0,0,0,1,0,20170504,20170710
11_UJ,0,0,0,0,0,0,1,20170504,20170710
2_T5,0,0,0,1,0,0,0,20170504,20170504
2_T2,0,0,0,0,0,1,0,20170505,20170507
2_UJ,0,0,0,0,0,0,1,20170505,20170507
2_T6,0,0,0,0,1,0,0,20170505,20170507
2_T5_1,1,1,1,1,0,0,0,20170508,20170511
2_T2_1,0,0,0,0,0,1,0,20170512,20170514
2_UJ_1,0,0,0,0,0,0,1,20170512,20170514
2_T6_1,0,0,0,0,1,0,0,20170512,20170514
2_T5_2,1,1,1,1,0,0,0,20170515,20170518
2_T5+ar,0,0,0,1,0,0,0,20170515,20170518
2_T5+td,1,1,1,0,0,0,0,20170515,20170518
2_T0,1,1,1,1,1,0,0,20170519,20170710
2_T2_2,0,0,0,0,0,1,0,20170519,20170710
2_UJ_2,0,0,0,0,0,0,1,20170519,20170710
2_T0+a6,0,0,0,0,1,0,0,20170519,20170710
2_T5+ar_1,0,0,0,1,0,0,0,20170508,20170511
2_T5+td_1,1,1,1,0,0,0,0,20170508,20170511
2_T0+a5,1,1,1,1,0,0,0,20170519,20170710
2_T5+ta,0,0,0,1,0,0,0,20170504,20170504
2_T5+ta_1,0,1,1,1,0,0,0,20170508,20170511
2_T5+ta_2,0,1,1,1,0,0,0,20170515,20170518
2_T5+ar_2,0,0,0,1,0,0,0,20170504,20170504
3_T0+a6,0,0,0,0,1,0,0,20170504,20170710
3_T0+a5,1,1,1,1,0,0,0,20170504,20170710
3_T2,0,0,0,0,0,1,0,20170504,20170710
3_UJ,0,0,0,0,0,0,1,20170504,20170710
3_T0+pz,1,1,1,0,0,0,0,20170504,20170710
3_T0+ar,0,0,0,1,0,0,0,20170504,20170710
4_T0,1,1,1,1,1,0,0,20170504,20170710
4_UW,1,0,0,0,0,0,0,20170504,20170710
4_UJ,0,0,0,0,0,0,1,20170504,20170710
4_T2,0,0,0,0,0,1,0,20170504,20170710
4_T0_1,1,1,1,1,1,0,0,20170604,20170710
4_UW_1,1,0,0,0,0,0,0,20170604,20170710
4_T2_1,0,0,0,0,0,1,0,20170604,20170710
4_UJ_1,0,0,0,0,0,0,1,20170604,20170710
4_T0_2,1,1,1,1,1,0,0,20170504,20170710
4_UW_2,1,0,0,0,0,0,0,20170504,20170710
4_T2_2,0,0,0,0,0,1,0,20170504,20170710
