route_id,agency_id,route_short_name,route_long_name,route_type
1-Ech-mjp-1,1,,Echuca/Moama - Melbourne Via Bendigo or Heathcote,2
1-Sht-mjp-1,1,,Shepparton - Melbourne Via Seymour,2
1-V01-mjp-1,1,,Melbourne - Albury Via Seymour,2
1-V01-A-mjp-1,1,,Melbourne - Albury Via Seymour,2
1-V01-B-mjp-1,1,,Melbourne - Albury Via Seymour,2
1-V04-mjp-1,1,,Melbourne - Ararat Via Ballarat,2
1-V05-mjp-1,1,,Ballarat - Melbourne Via Melton,2
1-V05-A-mjp-1,1,,Ballarat - Melbourne Via Melton,2
1-V05-B-mjp-1,1,,Ballarat - Melbourne Via Melton,2
1-V08-mjp-1,1,,Melbourne - Bairnsdale Via Traralgon & Sale,2
1-V08-A-mjp-1,1,,Melbourne - Bairnsdale Via Traralgon & Sale,2
1-V08-B-mjp-1,1,,Melbourne - Bairnsdale Via Traralgon & Sale,2
1-V12-mjp-1,1,,Bendigo - Melbourne Via Sunbury,2
1-V12-A-mjp-1,1,,Bendigo - Melbourne Via Sunbury,2
1-V12-B-mjp-1,1,,Bendigo - Melbourne Via Sunbury,2
1-V12-C-mjp-1,1,,Bendigo - Melbourne Via Sunbury,2
1-V23-A-mjp-1,1,,Melbourne - Geelong,2
1-V23-B-mjp-1,1,,Melbourne - Geelong,2
1-V23-C-mjp-1,1,,Melbourne - Geelong,2
1-V40-mjp-1,1,,Melbourne - Seymour Via Broadmeadows,2
1-V40-A-mjp-1,1,,Melbourne - Seymour Via Broadmeadows,2
1-V40-B-mjp-1,1,,Melbourne - Seymour Via Broadmeadows,2
1-V40-C-mjp-1,1,,Melbourne - Seymour Via Broadmeadows,2
1-V40-D-mjp-1,1,,Melbourne - Seymour Via Broadmeadows,2
1-V45-mjp-1,1,,Melbourne - Swan Hill Via Bendigo,2
1-V48-mjp-1,1,,"Traralgon - Melbourne Via Morwell, Moe & Pakenham",2
1-V48-A-mjp-1,1,,"Traralgon - Melbourne Via Morwell, Moe & Pakenham",2
1-V48-B-mjp-1,1,,"Traralgon - Melbourne Via Morwell, Moe & Pakenham",2
1-V51-A-mjp-1,1,,Warrnambool - Melbourne Via Colac & Geelong,2
1-V51-B-mjp-1,1,,Warrnambool - Melbourne Via Colac & Geelong,2
1-my1-A-mjp-1,1,,Maryborough - Melbourne Via Ballarat,2
1-my1-B-mjp-1,1,,Maryborough - Melbourne Via Ballarat,2
1-vPK-mjp-1,1,Pakenham,City - Pakenham,2
1-vsu-mjp-1,1,Sunbury,Sunbury - City (Southern Cross),2
10-GSR-B-mjp-1,10,Overland,Melbourne - Adelaide,2
10-GSR-C-mjp-1,10,Overland,Adelaide,2
10-GSR-D-mjp-1,10,Overland,Melbourne - Adelaide,2
10-XP2-mjp-1,10,XPT,Melbourne - Sydney Via Wodonga,2
11-SKY-mjp-1,11,SkyBus,City - Melbourne Airport,3
2-ALM-A-mjp-1,2,Alamein,City (Flinders Street) - Alamein,2
2-ALM-B-mjp-1,2,Alamein,City (Flinders Street) - Alamein,2
2-ALM-C-mjp-1,2,Alamein,City (Flinders Street) - Alamein,2
2-ALM-D-mjp-1,2,Alamein,City (Flinders Street) - Alamein,2
